id,name,address,phone,email,cluster
47856,tammie mayer,"apt. 371 1875 gusikowski stravenue, moenland, sc 28179",1632122656,maire.larson@runolfsdottir-mclaughlin.example,0
49394,evia yost,"22610 mildred green, pagacbury, az 19393-2103",7789266707,byron@johnston.test,1
48386,margery gorczany,"apt. 884 349 renner lane, east darren, nc 30837",9923755021,cletus@baumbach.test,2
49547,edris kshlerin,"suite 498 24711 bechtelar extensions, ryanville, mo 46009-5812",7475372209,leonore@gleason.test,3
50512,meghan thiel,"125 rodger drive, rogahnborough, vt 96988-4596",6317657676,cristine@bayer.test,4
50841,lynwood farrell,"594 josue summit, lake kelleyview, mo 77950-1151",5233865679,chas@dickens.test,5
49776,broderick dubuque,"apt. 584 5614 margarito points, east quintin, hi 69260",2010878105,justina@walsh.example,6
50714,lynn windler do,"573 hermann alley, west britt, ca 33273",1871786648,sabrina_hegmann@greenfelder.test,7
47819,winnie hagenes,"6064 lillian station, west kurt, md 71596",2239065883,shani.wiegand@herzog.example,8
50190,jimmie o'reilly sr.,"suite 347 6767 luettgen manors, new mickeybury, az 77858-0357",8960453277,tommie.king@ondricka.test,9
48833,dillon lemke,"suite 366 328 hoeger plaza, wunschport, ne 57161-6736",3624896635,loura@davis.test,10
47836,miss janae harris,"245 herb knolls, lake cathy, de 68831-9161",9438835532,charlie.torphy@volkman-larkin.example,11
48929,carlita roberts,"suite 692 7711 dinah lock, jerrymouth, mn 21534-1654",9904470641,eloy_morar@cormier.test,12
50515,amb. mike boehm,"876 tamera junctions, port felipe, de 46268",3117134637,librada.halvorson@haag-collins.example,13
50818,justina cruickshank,"apt. 837 7778 gerardo track, new pearle, nv 50920-7935",7998088895,flor@mueller.example,14
49435,frankie kertzmann,"92385 aufderhar throughway, north marlinshire, tx 97488",2341402124,sharen@hand.test,15
50066,emory lebsack,"apt. 831 7740 botsford wall, north philip, ky 26540-9763",8401761530,marissa_rice@nitzsche.test,16
48211,tenesha jaskolski,"apt. 194 217 pfeffer route, port stacyland, sc 14402",7870080962,heide@johnston-ebert.example,17
47784,lavern langosh,"24264 brian port, yundtbury, ne 87859-8277",7946248498,lee@marvin.example,18
49440,milton schinner,,8047296073,todd@little.example,19
48316,terrence lind,"suite 479 7153 barrows lodge, croninview, mo 64468",3819384031,omer_shanahan@quigley.example,20
50279,ms. maurice frami,"33679 corrine vista, north elliott, de 83059-3440",8738031176,season@cole-mccullough.example,21
